name,followers,uri,popularity,genres
Ski Mask The Slump God,5714209,spotify:artist:2rhFzFmezpnW82MNqEKVry,73,"hip hop, miami hip hop, pop rap, rap, trap, underground hip hop"
Reneé Rapp,758164,spotify:artist:2hUYKu1x0UZQXvzCmggvSn,74,"alt z, singer-songwriter pop"
Lorde,9926870,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,76,"art pop, metropopolis, nz pop, pop"
Connor Price,1252824,spotify:artist:5zixe6AbgXPqt4c1uSl94L,75,singer-songwriter pop
T.I.,4659980,spotify:artist:4OBJLual30L7gRl5UkeRcT,74,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Kygo,8304203,spotify:artist:23fqKkggKUBHNkbKtXEls4,80,"edm, pop, pop dance, tropical house"
The Offspring,5430243,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,77,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk"
Logic,5998505,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,74,"conscious hip hop, hip hop, pop rap, rap"
Jimin,7835824,spotify:artist:1oSPZhvZMIrWW5I41kPkkY,81,k-pop
Jason Derulo,11878486,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,79,"dance pop, pop"
Willie Nelson,2144123,spotify:artist:5W5bDNCqJ1jbCgTxDD0Cb3,73,"classic country pop, classic texas country, country, country rock, nashville sound, outlaw country, singer-songwriter"
Treaty Oak Revival,150581,spotify:artist:3444S3C4U9Ts86BnCtSPRV,70,"modern country pop, texas country"
Timbaland,2772385,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,77,"dance pop, pop, pop rap"
DJ Khaled,11121889,spotify:artist:0QHgL1lAIqAw0HtD7YldmP,75,"hip hop, miami hip hop, pop rap, rap"
blackbear,4919577,spotify:artist:2cFrymmkijnjDg9SS92EPM,74,pop
5 Seconds of Summer,9830002,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,77,"boy band, pop"
JVKE,4143775,spotify:artist:164Uj4eKjl6zTBKfJLFKKK,77,"modern indie pop, pov: indie, singer-songwriter pop"
Sean Paul,4564380,spotify:artist:3Isy6kedDrgPYoTS1dazA9,80,"dance pop, dancehall, pop, pop rap"
TOMORROW X TOGETHER,9755078,spotify:artist:0ghlgldX5Dd6720Q3qFyQB,78,"k-pop, k-pop boy group"
Ellie Goulding,12281927,spotify:artist:0X2BH1fck6amBIoJhDVmmJ,79,"indietronica, metropopolis, pop, uk pop"
Nelly,2709843,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,74,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary"
Faye Webster,1124895,spotify:artist:5szilpXHcwOqnyKLqGco5j,71,"atlanta indie, indie pop"
Charli XCX,3091706,spotify:artist:25uiPmTg16RbhZWAqwLBy5,76,"art pop, candy pop, metropopolis, pop, uk pop"
David Kushner,2072940,spotify:artist:33NVpKoXjItPwUJTMZIOiY,77,"gen z singer-songwriter, singer-songwriter pop"
Becky G,14300902,spotify:artist:4obzFoKoKRHIphyHzJ35G3,78,"latin pop, latin viral pop, rap latina, reggaeton, trap latino, urbano latino"
BLACKPINK,48294441,spotify:artist:41MozSoPIsD1dJM0CLPjZF,81,"k-pop, k-pop girl group, pop"
Demi Lovato,26234542,spotify:artist:6S2OmqARrzebs0tKUEyXyp,77,"pop, post-teen pop"
James Arthur,16216031,spotify:artist:4IWBUUAFIplrNtaOHcJPRM,82,"pop, talent show, uk pop"
Meghan Trainor,14674768,spotify:artist:6JL8zeS1NmiOftqZTRgdTz,77,"hip pop, pop"
Ava Max,6673483,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F,80,pop
Jeremih,6521617,spotify:artist:3KV3p5EY4AvKxOlhGHORLg,73,"chicago rap, pop rap, r&b, southern hip hop, trap, urban contemporary"
Dolly Parton,2416558,spotify:artist:32vWCbZh0xZ4o9gkz4PsEU,74,"classic country pop, country, country dawn"
Glass Animals,4049816,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,74,"gauze pop, indietronica, modern rock, pov: indie, shiver pop"
Hotel Ugly,602365,spotify:artist:35WVTyRnKAoaGExqgktVyb,75,modern indie pop
Joyner Lucas,2197901,spotify:artist:6C1ohJrd5VydigQtaGy5Wa,72,"boston hip hop, hip hop, pop rap, rap"
The Cranberries,4052120,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9,76,"irish rock, pop rock, rock"
JENNIE,5940475,spotify:artist:250b0Wlc5Vk0CoUsaCY84M,79,k-pop
ENHYPEN,8294975,spotify:artist:5t5FqBwTcgKTaWmfEbwQY9,79,"anime, k-pop boy group"
Charlie Puth,22311427,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,80,"pop, viral pop"
Riley Green,713481,spotify:artist:2QMsj4XJ7ne2hojxt6v5eb,69,"contemporary country, country road, modern country pop, modern country rock"
Jonas Brothers,7472899,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,76,"boy band, pop"
Tems,1617537,spotify:artist:687cZJR45JO7jhk1LHIbgq,74,"afro r&b, afrobeats, alte, nigerian pop"
Chappell Roan,309997,spotify:artist:7GlBOeep6PqTfFi59PTUUN,70,"indie pop, springfield mo indie"
The 1975,7096387,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,77,"modern alternative rock, modern rock, pop, pov: indie, rock"
Niall Horan,9815735,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4,77,pop
Tainy,2039514,spotify:artist:0GM7qgcRCORpGnfcN2tCiB,78,"pop reggaeton, reggaeton, trap latino, urbano latino"
Macklemore,2142976,spotify:artist:3JhNCzhSMTxs9WLGJJxWOY,77,"pop rap, seattle hip hop"
Alec Benjamin,4957601,spotify:artist:5IH6FPUwQTxPSXurCrcIov,76,"alt z, pop, pov: indie"
Luis Miguel,14977983,spotify:artist:2nszmSgqreHSdJA3zWPyrW,82,"bolero, latin pop"
Labrinth,3184753,spotify:artist:2feDdbD5araYcm6JhFHHw7,77,"indie poptimism, pop"
Lil Jon,1529670,spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK,74,"atl hip hop, crunk, dance pop, dirty south rap, old school atlanta hip hop, pop rap, southern hip hop, trap"
Skrillex,7555765,spotify:artist:5he5w2lnU9x7JFhnwcekXX,76,"brostep, complextro, edm, electro, pop dance"
Chance the Rapper,5937343,spotify:artist:1anyVhU62p31KFi8MEzkbf,73,"chicago rap, conscious hip hop, hip hop, pop rap, rap, trap"
YG,3225127,spotify:artist:0A0FS04o6zMoto8OKPsDwY,72,"cali rap, hip hop, pop rap, rap, southern hip hop, trap"
Florence + The Machine,6571767,spotify:artist:1moxjboGR7GNWYIMWsRjgG,76,"baroque pop, electropop, modern rock, neo mellow, uk alternative pop"
DJ Snake,8514893,spotify:artist:540vIaP2JwjQb9dm3aArA4,78,"edm, electronic trap, pop, pop dance"
girl in red,7059013,spotify:artist:3uwAm6vQy7kWPS2bciKWx9,75,"bedroom pop, indie pop, norwegian indie, pov: indie"
French Montana,5347921,spotify:artist:6vXTefBL93Dj5IqAWq6OTv,76,"hip hop, pop rap, rap, southern hip hop, trap"
Sech,11870810,spotify:artist:77ziqFxp5gaInVrF2lj4ht,80,"panamanian pop, reggaeton, trap latino, urbano latino"
Christina Aguilera,8068331,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,77,"dance pop, pop"
Carrie Underwood,5866901,spotify:artist:4xFUf1FHVy696Q1JQZMTRj,70,"classic oklahoma country, contemporary country, country, country dawn, dance pop, pop"
Lizzy McAlpine,862413,spotify:artist:1GmsPCcpKgF9OhlNXjOsbS,72,"alt z, boston folk, indie pop, singer-songwriter pop"
Wizkid,5143675,spotify:artist:3tVQdUvClmAT7URs9V3rsp,77,"afrobeats, afropop, azonto, nigerian hip hop, nigerian pop"
Megan Moroney,290441,spotify:artist:5Ppie0uPnbnvGBYRwYmlt0,69,"contemporary country, modern country pop"
Nelly Furtado,3768214,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,77,"canadian latin, canadian pop, dance pop, pop"
Måneskin,8821468,spotify:artist:0lAWpj5szCSwM4rUMHYmrr,80,"indie rock italiano, italian pop"
Maggie Rogers,1057080,spotify:artist:4NZvixzsSefsNiIqXn0NDe,70,indie pop
Bryan Martin,143539,spotify:artist:0ChjBYedhZTQnWZWQYg15U,70,modern country pop
Kehlani,7540553,spotify:artist:0cGUm45nv7Z6M6qdXYQGTX,73,"pop, r&b, rap"
Lily-Rose Depp,100683,spotify:artist:1pBLC0qVRTB5zVMuteQ9jJ,78,pop
Juicy J,3125488,spotify:artist:5gCRApTajqwbnHHPbr2Fpi,73,"crunk, memphis hip hop, pop rap, rap, southern hip hop, trap"
Vance Joy,3027011,spotify:artist:10exVja0key0uqUkk6LJRT,75,"folk-pop, modern rock"
Warren Zeiders,613775,spotify:artist:7kplJl06UmldxLKseURAYi,70,modern country pop
Enrique Iglesias,10823594,spotify:artist:7qG3b048QCHVRO5Pv1T5lw,78,"dance pop, latin pop, mexican pop"
Train,4187163,spotify:artist:3FUY2gzHeIiaesXtOAdB7A,74,"dance pop, neo mellow, pop, pop rock"
Pusha T,2887371,spotify:artist:0ONHkAv9pCAFxb0zJwDNTy,73,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, virginia hip hop"
ILLENIUM,1487128,spotify:artist:45eNHdiiabvmbp4erw26rg,71,"edm, melodic dubstep, pop dance"
Anitta,12356671,spotify:artist:7FNnA9vBm6EKceENgCGRMb,80,"funk pop, funk rj, pagode baiano, pop, pop nacional"
